Content,GroundTruth,Output_Enhanced
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (<*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (<*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (<*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (<*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (<*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (run-parts <*>)
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (<*>)
data_thread() got not answer from any [Thunderbird_A8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
session closed for user root,session closed for user root,session closed for user <*>
session opened for user root by (uid=0),session opened for user root by (uid=0),session opened for user <*> by (uid=<*>)
(root) CMD (run-parts /etc/cron.hourly),(root) CMD (run-parts /etc/cron.hourly),(<*>) CMD (<*>)
data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_B3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_A1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A3] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
Local disconnected: Connection closed.,Local disconnected: Connection closed.,Local disconnected: <*>.
connection lost: 'Connection closed.',connection lost: 'Connection closed.',connection lost: '<*>'
data_thread() got not answer from any [Thunderbird_B6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B8] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
